sede_op_ateco;NACE;NACE_group;Colonna1
52.22.09;52;TRAN;
52.29.22;52;TRAN;
52.29.22;52;TRAN;
52.22.09;52;TRAN;
52.29.22;52;TRAN;
52.21.90;52;TRAN;
52.21.20;52;TRAN;
52.24.40;52;TRAN;
52.21.20;52;TRAN;
52.22.09;52;TRAN;
52.22.09;52;TRAN;
52.48.3;52;TRAN;
52.29.22;52;TRAN;
53.20.00;53;TRAN;
53.20.00;53;TRAN;
55.10.00;55;TOUR;
55.10.00;55;TOUR;
55.20.10;55;TOUR;
55.20.10;55;TOUR;
55.20.10;55;TOUR;
55.10.00;55;TOUR;
55.30.00;55;TOUR;
55.10.00;55;TOUR;
