mu,met,j,nmi,nc_norm
25,LV_inc05_ST,0,0.7,0.7568
25,LV_inc05_ST,0,0.699,0.7568
25,LV_inc05_ST,0,0.724,0.7838
25,LV_inc05_ST,0,0.691,0.7838
25,LV_inc05_ST,0,0.719,0.8108
25,LV_inc05_ST,0,0.718,0.7838
25,LV_inc05_ST,0,0.698,0.7838
25,LV_inc05_ST,0,0.692,0.7568
25,LV_inc05_ST,0,0.689,0.7838
25,LV_inc05_ST,0,0.708,0.8108
25,LV_inc05_ST,0,0.715,0.7838
25,LV_inc05_ST,0,0.712,0.8108
25,LV_inc05_ST,0,0.702,0.7838
25,LV_inc05_ST,0,0.721,0.8108
25,LV_inc05_ST,0,0.718,0.8108
25,LV_inc05_ST,0,0.701,0.7838
25,LV_inc05_ST,0,0.699,0.7568
25,LV_inc05_ST,0,0.705,0.7838
25,LV_inc05_ST,0,0.736,0.8108
25,LV_inc05_ST,0,0.688,0.7568
25,LV_inc05_ST,0,0.707,0.7838
25,LV_inc05_ST,0,0.719,0.7838
25,LV_inc05_ST,0,0.676,0.7297
25,LV_inc05_ST,0,0.709,0.8108
25,LV_inc05_ST,0,0.698,0.7568
25,LV_inc05_ST,0,0.71,0.8108
25,LV_inc05_ST,0,0.722,0.8378
25,LV_inc05_ST,0,0.706,0.7838
25,LV_inc05_ST,0,0.74,0.8378
25,LV_inc05_ST,0,0.657,0.7297
25,LV_inc05_ST,0,0.721,0.8108
25,LV_inc05_ST,0,0.692,0.8108
25,LV_inc05_ST,0,0.709,0.7568
25,LV_inc05_ST,0,0.721,0.7838
25,LV_inc05_ST,0,0.714,0.8108
25,LV_inc05_ST,0,0.73,0.8378
25,LV_inc05_ST,0,0.664,0.7297
25,LV_inc05_ST,0,0.704,0.7838
25,LV_inc05_ST,0,0.715,0.7838
25,LV_inc05_ST,0,0.708,0.8108
25,LV_inc05_ST,0,0.706,0.7838
25,LV_inc05_ST,0,0.7,0.7838
25,LV_inc05_ST,0,0.71,0.7838
25,LV_inc05_ST,0,0.698,0.7838
25,LV_inc05_ST,0,0.712,0.8108
25,LV_inc05_ST,0,0.716,0.7838
25,LV_inc05_ST,0,0.704,0.8108
25,LV_inc05_ST,0,0.7,0.7838
25,LV_inc05_ST,0,0.73,0.8378
25,LV_inc05_ST,0,0.687,0.7297
25,LV_inc05_ST,0,0.702,0.8108
25,LV_inc05_ST,0,0.685,0.7838
25,LV_inc05_ST,0,0.704,0.7838
25,LV_inc05_ST,0,0.73,0.8378
25,LV_inc05_ST,0,0.721,0.7838
25,LV_inc05_ST,0,0.721,0.8108
25,LV_inc05_ST,0,0.701,0.7838
25,LV_inc05_ST,0,0.673,0.7297
25,LV_inc05_ST,0,0.692,0.7568
25,LV_inc05_ST,0,0.726,0.8108
25,LV_inc05_ST,0,0.669,0.7297
25,LV_inc05_ST,0,0.7,0.7838
25,LV_inc05_ST,0,0.69,0.7297
25,LV_inc05_ST,0,0.728,0.8108
25,LV_inc05_ST,0,0.724,0.8108
25,LV_inc05_ST,0,0.708,0.7838
25,LV_inc05_ST,0,0.722,0.8108
25,LV_inc05_ST,0,0.701,0.7838
25,LV_inc05_ST,0,0.703,0.7838
25,LV_inc05_ST,0,0.714,0.8108
25,LV_inc05_ST,0,0.706,0.8108
